"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","BBT_Product__c","BBTCustomer__c","Review_Stars__c","Review_Content__c"
"a048c00000zr3XZAAY","0","0002","2022-03-07 03:57:40","0058c00000AiQndAAF","2022-03-07 19:54:55","0058c00000AiQndAAF","2022-03-07 19:54:55","","a018c00000TneffAAB","a008c00000Z0tQjAAJ","4","Fantastic watch for only 59.00. Excellent price for a decent product"
"a048c00000zr3XaAAI","0","0008","2022-03-07 04:02:02","0058c00000AiQndAAF","2022-03-07 19:51:28","0058c00000AiQndAAF","2022-03-07 19:51:28","","a018c00000TnefnAAB","a008c00000Z0tR1AAJ","5","Sigma watch. for a Sigma male."
"a048c00000zr3XbAAI","0","0011","2022-03-07 04:03:36","0058c00000AiQndAAF","2022-03-07 19:47:35","0058c00000AiQndAAF","2022-03-07 19:47:35","","a018c00000TnefeAAB","a008c00000Z0tQhAAJ","3","I love the colour"
"a048c00000zr3XcAAI","0","0013","2022-03-07 04:04:35","0058c00000AiQndAAF","2022-03-07 19:44:06","0058c00000AiQndAAF","2022-03-07 19:44:06","","a018c00000TneoSAAR","a008c00000Z0swyAAB","4","Almost as ancient as my grandpa! He loved this for his 80th!"
"a048c00000zr3XdAAI","0","0017","2022-03-07 04:07:44","0058c00000AiQndAAF","2022-03-07 19:57:55","0058c00000AiQndAAF","2022-03-07 19:57:55","","a018c00000TneoFAAR","a008c00000Z0tQpAAJ","4","One of the best watches I've ever bought!! easy to pair with great functionality and UI"
"a048c00000zr3XoAAI","0","0003","2022-03-07 03:58:18","0058c00000AiQndAAF","2022-03-07 19:53:45","0058c00000AiQndAAF","2022-03-07 19:53:45","","a018c00000Tnep4AAB","a008c00000Z0tQoAAJ","5","My girlfriend said this is one of the most comfortable ""straps"" she's ever had"
"a048c00000zr3Y3AAI","0","0004","2022-03-07 03:59:04","0058c00000AiQndAAF","2022-03-07 19:52:57","0058c00000AiQndAAF","2022-03-07 19:52:57","","a018c00000TnefYAAR","a008c00000Z0tQyAAJ","5","Comfy wrist strap and perfect for my preppy hubby"
"a048c00000zr3Y4AAI","0","0007","2022-03-07 04:01:41","0058c00000AiQndAAF","2022-03-07 19:51:08","0058c00000AiQndAAF","2022-03-07 19:51:08","","a018c00000TnefrAAB","a008c00000Z0tQwAAJ","4","This worked amazingly well for my Sherlock Holmes cosplay"
"a048c00000zr3Y5AAI","0","0009","2022-03-07 04:02:33","0058c00000AiQndAAF","2022-03-07 19:51:57","0058c00000AiQndAAF","2022-03-07 19:51:57","","a018c00000TnefiAAB","a008c00000Z0tR4AAJ","2","Made with a cheap casing and Antique Bronze is a terrible colour for a pocket watch"
"a048c00000zr3Y6AAI","0","0014","2022-03-07 04:05:33","0058c00000AiQndAAF","2022-03-07 19:56:30","0058c00000AiQndAAF","2022-03-07 19:56:30","","a018c00000TnefoAAB","a008c00000Z0tR2AAJ","4","Beautiful watch! Almost got it nicked from me within a week of wearing it"
"a048c00000zr3Y7AAI","0","0026","2022-03-07 04:13:01","0058c00000AiQndAAF","2022-03-07 20:07:27","0058c00000AiQndAAF","2022-03-07 20:07:27","","a018c00000TneoEAAR","a008c00000Z0swvAAB","5","This watch is brighter than my future."
"a048c00000zr3Z1AAI","0","0005","2022-03-07 04:00:29","0058c00000AiQndAAF","2022-03-07 19:52:29","0058c00000AiQndAAF","2022-03-07 19:52:29","","a018c00000TneoMAAR","a008c00000Z0swrAAB","5","Perfection for my antique Collection!!"
"a048c00000zr3Z2AAI","0","0006","2022-03-07 04:01:03","0058c00000AiQndAAF","2022-03-07 19:50:22","0058c00000AiQndAAF","2022-03-07 19:50:22","","a018c00000TnefXAAR","a008c00000Z0tR3AAJ","4","My husband loved this watch for our 25th anniversary! Hardly takes it off"
"a048c00000zr3ZGAAY","0","0010","2022-03-07 04:03:19","0058c00000AiQndAAF","2022-03-07 19:48:12","0058c00000AiQndAAF","2022-03-07 19:48:12","","a018c00000TnefmAAB","a008c00000Z0tQzAAJ","5","Almost as handsome and rugged as my husband. Perfect for hunting and prepping!"
"a048c00000zr3ZHAAY","0","0016","2022-03-07 04:07:06","0058c00000AiQndAAF","2022-03-07 19:57:24","0058c00000AiQndAAF","2022-03-07 19:57:24","","a018c00000TneoTAAR","a008c00000Z0tQlAAJ","3","Good looking watch but the wrist strap is quite thin."
"a048c00000zr3ZIAAY","0","0024","2022-03-07 04:12:00","0058c00000AiQndAAF","2022-03-07 20:03:15","0058c00000AiQndAAF","2022-03-07 20:03:15","","a018c00000TneoCAAR","a008c00000Z0swsAAB","4","With a Casio, you pay for the brand name. Worth every penny tho"
"a048c00000zr3ZJAAY","0","0025","2022-03-07 04:12:33","0058c00000AiQndAAF","2022-03-07 20:06:21","0058c00000AiQndAAF","2022-03-07 20:06:21","","a018c00000TneouAAB","a008c00000Z0swtAAB","4","Glad to see a woman's watch look so good on my wrist."
"a048c00000zr3ZKAAY","0","0030","2022-03-07 04:16:31","0058c00000AiQndAAF","2022-03-07 20:04:38","0058c00000AiQndAAF","2022-03-07 20:04:38","","a018c00000TneouAAB","a008c00000Z0tQkAAJ","4","The most comfortable wrist strap on a watch I've ever had. Real Leather"
"a048c00000zr3ZVAAY","0","0012","2022-03-07 04:04:05","0058c00000AiQndAAF","2022-03-07 19:46:56","0058c00000AiQndAAF","2022-03-07 19:46:56","","a018c00000TnefgAAB","a008c00000Z0tQiAAJ","4","Fantastic watch for my wife. She loved the quirky font and the comfortable wriststrap"
"a048c00000zr3ZWAAY","0","0015","2022-03-07 04:05:58","0058c00000AiQndAAF","2022-03-07 19:56:54","0058c00000AiQndAAF","2022-03-07 19:56:54","","a018c00000TnefoAAB","a008c00000Z0swrAAB","5","Now this is the perfect watch."
"a048c00000zr3ZXAAY","0","0018","2022-03-07 04:08:45","0058c00000AiQndAAF","2022-03-07 19:58:21","0058c00000AiQndAAF","2022-03-07 19:58:21","","a018c00000TneoDAAR","a008c00000Z0swxAAB","5","Fitter than a FitBit"
"a048c00000zr3ZYAAY","0","0019","2022-03-07 04:09:06","0058c00000AiQndAAF","2022-03-07 19:59:41","0058c00000AiQndAAF","2022-03-07 19:59:41","","a018c00000TneoNAAR","a008c00000Z0swuAAB","3","Well its better than my last name"
"a048c00000zr3aTAAQ","0","0020","2022-03-07 04:09:57","0058c00000AiQndAAF","2022-03-07 20:00:09","0058c00000AiQndAAF","2022-03-07 20:00:09","","a018c00000TneoRAAR","a008c00000Z0tQqAAJ","1","This is the absolute worst watch I've ever bought. Don't do this to yourself. Have some pride."
"a048c00000zr3aUAAQ","0","0022","2022-03-07 04:10:52","0058c00000AiQndAAF","2022-03-07 20:01:49","0058c00000AiQndAAF","2022-03-07 20:01:49","","a018c00000TnefdAAB","a008c00000Z0tQnAAJ","5","Nice."
"a048c00000zr3aVAAQ","0","0023","2022-03-07 04:11:20","0058c00000AiQndAAF","2022-03-07 20:02:43","0058c00000AiQndAAF","2022-03-07 20:02:43","","a018c00000TnefhAAB","a008c00000Z0tQxAAJ","3","My grandfather loves the retro style of this. Perfect gift."
"a048c00000zr3aiAAA","0","0021","2022-03-07 04:10:25","0058c00000AiQndAAF","2022-03-07 20:00:56","0058c00000AiQndAAF","2022-03-07 20:00:56","","a018c00000TnefcAAB","a008c00000Z0tQmAAJ","4","Perfect buy with a senator's Russian paycheck"
"a048c00000zr3ajAAA","0","0028","2022-03-07 04:14:20","0058c00000AiQndAAF","2022-03-07 20:07:05","0058c00000AiQndAAF","2022-03-07 20:07:05","","a018c00000TneoEAAR","a008c00000Z0tR2AAJ","5","Gave this to my wife as part of the engagement. Almost got stolen at the bar at her bachelorette party!! Must be pretty good!1!!"
"a048c00000zr3bCAAQ","0","0027","2022-03-07 04:13:18","0058c00000AiQndAAF","2022-03-07 20:07:47","0058c00000AiQndAAF","2022-03-07 20:07:47","","a018c00000TneoEAAR","a008c00000Z0swuAAB","5","This is the ultimate watch. Perfection on a wrist."
"a048c00000zr3c0AAA","0","0029","2022-03-07 04:15:53","0058c00000AiQndAAF","2022-03-07 19:59:01","0058c00000AiQndAAF","2022-03-07 19:59:01","","a018c00000TneoDAAR","a008c00000Z0swwAAB","5","Simply Outstanding"
