"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Product_Style__c","Image_URL__c","Image_Alt_Tag__c","Product_Price__c"
"a018c00000TnefXAAR","0058c00000AiQndAAF","0","Orlando 360","2022-03-03 02:35:06","0058c00000AiQndAAF","2022-03-03 04:04:30","0058c00000AiQndAAF","2022-03-03 04:04:30","","mens;men;men's;man;mans;man's;classic;fancy;analog;analogue","https://i.imgur.com/K7sB1HC.jpg","Silver and Gold Analogue Watch","120"
"a018c00000TnefYAAR","0058c00000AiQndAAF","0","Kobra Tac Watch","2022-03-03 02:36:19","0058c00000AiQndAAF","2022-03-03 04:04:26","0058c00000AiQndAAF","2022-03-03 04:04:26","","mens;men;men's;man;mans;man's;digital;sports;sport","https://i.imgur.com/fP6MDHK.jpg","All Black 5-button Digital Watch","120"
"a018c00000TnefcAAB","0058c00000AiQndAAF","0","Diamond Senator","2022-03-03 02:38:32","0058c00000AiQndAAF","2022-03-03 04:04:22","0058c00000AiQndAAF","2022-03-03 04:04:22","","mens;men;men's;man;mans;man's;classic;analog","https://i.imgur.com/OzArsUO.jpg","Diamond Brand Watch","120"
"a018c00000TnefdAAB","0058c00000AiQndAAF","0","Casio Le Femme","2022-03-03 03:02:57","0058c00000AiQndAAF","2022-03-03 04:03:04","0058c00000AiQndAAF","2022-03-03 04:03:04","","women;womens;woman;womans;woman's;classic;analog;analogue","https://i.imgur.com/VhgmBk2.jpg","Casio Le Femme Watch","120"
"a018c00000TnefeAAB","0058c00000AiQndAAF","0","Timex Beige","2022-03-03 03:07:18","0058c00000AiQndAAF","2022-03-03 04:02:53","0058c00000AiQndAAF","2022-03-03 04:02:53","","mens;men;men's;man;mans;man's;analog;analogue","https://i.imgur.com/3CuaYHO.jpg","Timex Beige Watch","120"
"a018c00000TneffAAB","0058c00000AiQndAAF","0","Kazuha Neutron","2022-03-03 03:09:14","0058c00000AiQndAAF","2022-03-03 04:02:45","0058c00000AiQndAAF","2022-03-03 04:02:45","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;digital;smart;smart watch","https://i.imgur.com/PKcHhEr.jpg","Kazuha Neutron Watch","120"
"a018c00000TnefgAAB","0058c00000AiQndAAF","0","Vansvar Velvet","2022-03-03 03:12:19","0058c00000AiQndAAF","2022-03-03 04:02:32","0058c00000AiQndAAF","2022-03-03 04:02:32","","women;womens;woman;womans;woman's;classic;analog;analogue","https://i.imgur.com/SUrmoCy.jpg","Vansvar Velvet Watch","120"
"a018c00000TnefhAAB","0058c00000AiQndAAF","0","Casio Illuminator","2022-03-03 02:39:11","0058c00000AiQndAAF","2022-03-03 04:04:17","0058c00000AiQndAAF","2022-03-03 04:04:17","","mens","https://i.imgur.com/1oFKYe5.jpg","Casio Illuminator Watch","120"
"a018c00000TnefiAAB","0058c00000AiQndAAF","0","Quartz Tudor","2022-03-03 02:41:51","0058c00000AiQndAAF","2022-03-03 04:04:09","0058c00000AiQndAAF","2022-03-03 04:04:09","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;antique;fancy;analog;analogue;pocket;pocket watch","https://i.imgur.com/7ANtcJT.jpg","Quartz Tudor Pocket Watch","120"
"a018c00000TnefmAAB","0058c00000AiQndAAF","0","Spovan Survivalist","2022-03-03 02:40:56","0058c00000AiQndAAF","2022-03-03 04:04:14","0058c00000AiQndAAF","2022-03-03 04:04:14","","mens;men;men's;man;mans;man's;digital;sports;sport","https://i.imgur.com/udu2n7g.jpg","Spovan Survivalist Watch","120"
"a018c00000TnefnAAB","0058c00000AiQndAAF","0","Quartz Sigma","2022-03-03 02:50:53","0058c00000AiQndAAF","2022-03-03 04:03:29","0058c00000AiQndAAF","2022-03-03 04:03:29","","mens;men;men's;man;mans;man's;classic;analog;analogue","https://i.imgur.com/K6flbnB.jpg","Adam Nummel Collection Quartz Watch","120"
"a018c00000TnefoAAB","0058c00000AiQndAAF","0","Kazuha Morgan","2022-03-03 03:00:40","0058c00000AiQndAAF","2022-03-03 04:03:13","0058c00000AiQndAAF","2022-03-03 04:03:13","","mens;men;men's;man;mans;man's;fancy;analog;analogue","https://i.imgur.com/x0yvciW.jpg","Kazuha Morgan Watch","120"
"a018c00000TnefrAAB","0058c00000AiQndAAF","0","Quartz Horatree","2022-03-03 02:42:49","0058c00000AiQndAAF","2022-03-03 04:04:06","0058c00000AiQndAAF","2022-03-03 04:04:06","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;fancy;analog;analogue;pocket;pocket watch","https://i.imgur.com/BtuztV8.jpg","Quartz Horatree Pocket Watch","120"
"a018c00000TneoCAAR","0058c00000AiQndAAF","0","Casio G-Shock","2022-03-03 02:44:20","0058c00000AiQndAAF","2022-03-03 04:03:58","0058c00000AiQndAAF","2022-03-03 04:03:58","","mens;men;men's;man;mans;man's;digital;sports;sport","https://i.imgur.com/skCncPU.jpg","Casio G-Shock 4 Button Watch","120"
"a018c00000TneoDAAR","0058c00000AiQndAAF","0","Kazuha Dark Star","2022-03-03 03:03:55","0058c00000AiQndAAF","2022-03-03 04:03:01","0058c00000AiQndAAF","2022-03-03 04:03:01","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;digital;smart;smart watch","https://i.imgur.com/wEDlVnn.jpg","Kazuha Dark Star Watch","120"
"a018c00000TneoEAAR","0058c00000AiQndAAF","0","Bulova Adamus","2022-03-03 03:10:10","0058c00000AiQndAAF","2022-03-03 04:02:40","0058c00000AiQndAAF","2022-03-03 04:02:40","","women;womens;woman;womans;woman's;fancy;analog;analogue","https://i.imgur.com/fbSsbou.jpg","Bulova Adamus Watch","120"
"a018c00000TneoFAAR","0058c00000AiQndAAF","0","Kazuha Graviton","2022-03-03 03:10:51","0058c00000AiQndAAF","2022-03-03 04:02:36","0058c00000AiQndAAF","2022-03-03 04:02:36","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;digital;smart;smart watch","https://i.imgur.com/YFfhqFX.jpg","Kazuha Graviton Watch","120"
"a018c00000TneoMAAR","0058c00000AiQndAAF","0","Lange der Kapitan","2022-03-03 02:48:45","0058c00000AiQndAAF","2022-03-03 04:03:35","0058c00000AiQndAAF","2022-03-03 04:03:35","","mens;men;men's;man;mans;man's;antique;analog;analogue;pocket;pocket watch","https://i.imgur.com/v2qREKO.jpg","Antique Pre-Owned German Pocket Watch","120"
"a018c00000TneoNAAR","0058c00000AiQndAAF","0","Kazuha Astro","2022-03-03 02:55:58","0058c00000AiQndAAF","2022-03-03 04:03:25","0058c00000AiQndAAF","2022-03-03 04:03:25","","women;womens;woman;womans;woman's;smart;smart watch;sports;sport","https://i.imgur.com/0aVSku2.jpg","Women's Smart-Enabled Watch","120"
"a018c00000TneoRAAR","0058c00000AiQndAAF","0","Kazuha Apollo","2022-03-03 02:56:30","0058c00000AiQndAAF","2022-03-03 04:03:20","0058c00000AiQndAAF","2022-03-03 04:03:20","","mens;men;men's;man;mans;man's;digital;smart;smart watch;sports;sport","https://i.imgur.com/0j6Opka.jpg","Kazuha Astro Smart Watch","120"
"a018c00000TneoSAAR","0058c00000AiQndAAF","0","Vizier Aurum","2022-03-03 03:02:18","0058c00000AiQndAAF","2022-03-03 04:03:08","0058c00000AiQndAAF","2022-03-03 04:03:08","","mens;men;men's;man;mans;man's;women;womens;woman;womans;woman's;antique;analog;analogue;pocket;pocket watch","https://i.imgur.com/JDRwcPP.jpg","Vizier Aurum Pocket Watch","120"
"a018c00000TneoTAAR","0058c00000AiQndAAF","0","Kazuha Krystal","2022-03-03 03:05:17","0058c00000AiQndAAF","2022-03-03 04:02:57","0058c00000AiQndAAF","2022-03-03 04:02:57","","women;womens;woman;womans;woman's;classic;fancy;analog;analogue","https://i.imgur.com/6CbcAvB.jpg","Kazuha Krystal Watch","120"
"a018c00000TneouAAB","0058c00000AiQndAAF","0","Casio Corium","2022-03-03 03:08:07","0058c00000AiQndAAF","2022-03-03 04:02:49","0058c00000AiQndAAF","2022-03-03 04:02:49","","women;womens;woman;womans;woman's;classic;analog;analogue","https://i.imgur.com/LJQO1PW.jpg","Casio Corium Watch","120"
"a018c00000Tnep4AAB","0058c00000AiQndAAF","0","Kazuha Spectrum","2022-03-03 03:14:59","0058c00000AiQndAAF","2022-03-03 04:03:51","0058c00000AiQndAAF","2022-03-03 04:03:51","","women;womens;woman;womans;woman's;digital;smart;smart watch","https://i.imgur.com/04uZukn.jpg","Kazuha Spectrum Watch","120"
